"Wavelength","Transmittance"
803,88.331703
804,88.515415
804,88.425756
804,88.389889
805,88.624081
805,88.485318
805,88.430553
806,88.680317
806,88.570512
806,88.46778
807,88.695446
807,88.674131
807,88.515122
808,88.707899
808,88.768298
808,88.570996
809,88.742339
809,88.82502
809,88.615636
810,88.800605
810,88.852704
810,88.641198
811,88.882129
811,88.898991
811,88.676016
812,88.982282
812,88.995357
812,88.756414
813,89.0726
813,89.109028
813,88.878504
814,89.118693
814,89.177417
814,88.999463
815,89.128373
815,89.185416
815,89.08472
816,89.151544
816,89.180275
816,89.135371
817,89.216641
817,89.208252
817,89.171065
818,89.296207
818,89.266263
818,89.207289
819,89.35699
819,89.326918
819,89.255539
820,89.417576
820,89.385065
820,89.328039
821,89.524007
821,89.460098
821,89.430852
822,89.681031
822,89.563773
822,89.559685
823,89.841152
823,89.683778
823,89.707103
824,89.961141
824,89.797382
824,89.865924
825,90.039952
825,89.889505
825,90.019757
826,90.095335
826,89.955737
826,90.13662
827,90.134776
827,89.996206
827,90.184755
828,90.166173
828,90.015213
828,90.165917
829,90.213226
829,90.027558
829,90.131083
830,90.296904
830,90.058011
830,90.147986
831,90.408469
831,90.126788
831,90.24216
832,90.513935
832,90.232615
832,90.371767
833,90.584026
833,90.352714
833,90.470571
834,90.61494
834,90.459971
834,90.51304
835,90.625305
835,90.537447
835,90.525664
836,90.642047
836,90.582819
836,90.544328
837,90.684977
837,90.609985
837,90.583191
838,90.754591
838,90.644776
838,90.645249
839,90.834298
839,90.708644
839,90.736546
840,90.910498
840,90.805002
840,90.855525
841,90.989872
841,90.927274
841,90.984383
842,91.088307
842,91.073113
842,91.103777
843,91.200992
843,91.233549
843,91.205529
844,91.294298
844,91.374147
844,91.287414
845,91.335852
845,91.455649
845,91.351496
846,91.328237
846,91.480865
846,91.410292
847,91.307563
847,91.500181
847,91.47554
848,91.31375
848,91.561671
848,91.536954
849,91.366568
849,91.670171
849,91.575648
850,91.464062
850,91.799975
850,91.606495
851,91.591213
851,91.924395
851,91.678618
852,91.725375
852,92.018314
852,91.812857
853,91.842127
853,92.054038
853,91.959523
854,91.926438
854,92.022081
854,92.046625
855,91.982728
855,91.955893
855,92.060883
856,92.033679
856,91.919797
856,92.058549
857,92.104227
857,91.96324
857,92.101145
858,92.200008
858,92.085908
858,92.201023
859,92.299282
859,92.242412
859,92.327491
860,92.370494
860,92.378016
860,92.44331
861,92.402629
861,92.468023
861,92.528878
862,92.416505
862,92.527283
862,92.584521
863,92.443767
863,92.581246
863,92.620467
864,92.497525
864,92.635545
864,92.646892
865,92.565544
865,92.682482
865,92.674902
866,92.629041
866,92.727596
866,92.724282
867,92.682849
867,92.788118
867,92.815907
868,92.736813
868,92.863435
868,92.943052
869,92.802291
869,92.930432
869,93.059053
870,92.881913
870,92.9795
870,93.115652
871,92.972422
871,93.035535
871,93.11738
872,93.070831
872,93.125164
872,93.120292
873,93.169842
873,93.234116
873,93.166766
874,93.248876
874,93.317074
874,93.23631
875,93.284115
875,93.348213
875,93.277085
876,93.278317
876,93.347758
876,93.275428
877,93.270872
877,93.357002
877,93.270553
878,93.302785
878,93.397641
878,93.300698
879,93.376053
879,93.460094
879,93.360989
880,93.461287
880,93.524492
880,93.425972
881,93.540698
881,93.586446
881,93.492206
882,93.62323
882,93.659704
882,93.575177
883,93.715083
883,93.753352
883,93.673854
884,93.798743
884,93.85232
884,93.765255
885,93.855159
885,93.928759
885,93.835946
886,93.892295
886,93.97295
886,93.896471
887,93.936922
887,94.005947
887,93.958783
888,94.005991
888,94.059204
888,94.019895
889,94.096122
889,94.144336
889,94.076536
890,94.193208
890,94.242342
890,94.136391
891,94.281596
891,94.318475
891,94.20189
892,94.349881
892,94.349613
892,94.259719
893,94.397867
893,94.344485
893,94.302484
894,94.434512
894,94.338846
