"t","y"
2000.58333333333,66.37195362
2000.66666666667,70.83228592
2000.75,69.20237383
2000.83333333333,67.58122474
2000.91666666667,63.84395899
2001,64.97208656
2001.08333333333,62.22551534
2001.16666666667,65.50351028
2001.25,66.29003586
2001.33333333333,69.50010129
2001.41666666667,62.94784723
2001.5,56.45534875
2001.58333333333,45.21836282
2001.66666666667,45.4651266
2001.75,44.08786702
2001.83333333333,42.9824499
2001.91666666667,39.22045411
2002,42.97237756
2002.08333333333,44.30815664
2002.16666666667,48.46411176
2002.25,47.88309587
2002.33333333333,49.5506111
2002.41666666667,46.42302
2002.5,44.57011513
2002.58333333333,48.85973507
2002.66666666667,56.22045421
2002.75,58.5953716
2002.83333333333,58.31811966
2002.91666666667,62.95392388
2003,66.71218472
2003.08333333333,70.60054641
