"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78"
"ABV",0.677927855157417,0.360613378443439,0.330758083951313,0.257089835236294,0.305738852463913,0.113142805545221,0.320174474874452,0.144053223157225,0.146132553661901,0.112838881310259,0.0992674396345832,0.135006026691181,0.109538488458774,0.106546015389512,0.121228365384236,0.0800681357248798,0.0976817677887589,0.0845692023338227,0.0889112733809169,0.0996803133342631,0.0591181670341617,0.0838991988713792,0.0973154038999335,0.0621389284673174,0.0718687968230964,0.0828447808894409,0.0710819795290444,0.0898767346800418,0.0714902490646566,0.0510340446322464,0.0727916098322785,0.0487578253866243,0.0299543063502667,0.0778125500904625,0.0562071483227937,0.0664074355127539,0.0591001933243718,0.0426922653499951,0.0666082282441585,0.0545304561581965,0.0314687858789132,0.065696027833021,0.0682218324612525,0.0465185798066983,0.0455696400744262,0.0518914846492523,0.0280361058064971,0.0479966775681338,0.059403823165999,0.0500920684682689,0.0639827833953121,0.0695853676720893,0.0474014443476488,0.0885250629147816,0.0549892244573242,0.0652475155142396,0.105978432165124,0.0871065269910805,0.0884725709612246,0.0485183148945563,0.0725662873746381,0.0635285016863148,0.0525484320381626,0.064223239273907,0.0727403755927894,0.0639099602278697,0.0611759536804923,0.0905039075928951,0.0626568920355698,0.0403107254740985,0.0792366776017763,0.0738305804536845,0.0554665046507021,0.080601271525104,0.0979248027867688,0.0809683219250138,0.113318808378798,0.0813124036198461
"ABX",1.03043411584925,0.40960555225056,0.388518837498225,0.267866889950478,0.255142260551889,0.360665185879866,0.27969038459834,0.177670143917409,0.237079070805336,0.127948249606617,0.165518573632392,0.171833409525072,0.190798325997676,0.18640306827077,0.126647554206403,0.0990825176620965,0.127295109434098,0.147635711002581,0.136341807744628,0.0754493285955451,0.0864694685348184,0.128791414642927,0.095614374282522,0.0884758933620331,0.07839736720978,0.125305937509584,0.0670165911404293,0.107289780291373,0.0970378147827121,0.118275092628048,0.10591129862344,0.124983074782469,0.0570934017838903,0.0900734128854221,0.0948162677328589,0.073947787974544,0.0726693520193088,0.0494666634472661,0.0737060272584407,0.0896085857579822,0.0630274220513825,0.0527977115548978,0.0705124831120803,0.0853092919930042,0.0883227765975511,0.0366882506563104,0.0615505884804185,0.0603049455888741,0.0717998660181809,0.0710325881686695,0.0586952735972763,0.0979434248313987,0.0723253568214805,0.0472617055763184,0.088731854242372,0.0694015639007084,0.0973091839880142,0.0775142039766503,0.0796594423287724,0.100852318183869,0.124170352314532,0.0879477940455092,0.0857070386840433,0.0992948785994787,0.0736400411144223,0.0631564264018377,0.0790828633537691,0.10259283184625,0.0730792530233126,0.0711942418996142,0.115619771909683,0.0746743190020188,0.111489561757137,0.0623575929955617,0.106646935553928,0.0593710939414585,0.0709510515644508,0.0854290877637851
"ACAS",1.15745401521493,0.784428127219971,0.668471624166635,0.746935476983292,0.720558614772786,0.462923225487305,0.650310133844734,0.382970254843691,0.475143418582758,0.468269535090062,0.412997817355088,0.291788681118312,0.403037821648319,0.393289094252444,0.329197019700042,0.3321357621702,0.367258265200529,0.283088476975422,0.303557295289215,0.208400043419941,0.259296201945694,0.274657648246446,0.161615713312244,0.106617280439084,0.263168982441919,0.204933346659266,0.221519309135251,0.115760571336295,0.170476799839434,0.132664981789411,0.162687855383554,0.0968610137716273,0.138189226342496,0.126647877520146,0.117462100339591,0.149244631362671,0.093268497531251,0.156863191779769,0.137738248650455,0.179795138233276,0.171510211471286,0.142675325729664,0.113301408184062,0.162298093355843,0.161077805115121,0.0945709469185751,0.132761443599775,0.152819568988318,0.129426722515378,0.233051143379477,0.176264764959545,0.17802525687275,0.177016013837662,0.152801393865239,0.168241254155525,0.27134983290467,0.187782469327623,0.213937391308005,0.287009362672918,0.227027703558811,0.247169388053866,0.208586070920886,0.280991295779569,0.218302725845307,0.206800808595681,0.15230374945936,0.201454034914193,0.268497470941152,0.246297276932536,0.238214322888022,0.262579451862009,0.266251367099488,0.288652902492822,0.28481746682975,0.28074221541669,0.223321826888516,0.352019116562713,0.544297071855058
"ACC",0.979485875196991,0.616980947441014,0.341402981956225,0.269776857298324,0.256865572273021,0.330320900685229,0.239119078591403,0.172496611234747,0.180176610682957,0.113327332824458,0.107362657154191,0.158722189428259,0.213267225442804,0.188361717384259,0.149994182164971,0.140857343410708,0.144291412931849,0.129492219574606,0.140993441712786,0.0988835895677614,0.109945482136247,0.108207210614135,0.102619740240196,0.110679728538667,0.0610744191426701,0.0665857717227316,0.106961885068346,0.124581876006253,0.0968249110064843,0.0468381366381053,0.0862197612238114,0.0969659774415768,0.093834971910281,0.0844874276435139,0.0407829579934047,0.123960312566107,0.114450665871933,0.0554541154307635,0.0524016426190047,0.108564818927772,0.0619565917535402,0.0610310254386368,0.0932850843433681,0.0951381739593842,0.0650363363119257,0.0774117200640956,0.0364493317782133,0.04405223590525,0.0417131144826509,0.0838930145698261,0.0751258814633403,0.0658659592523081,0.0817958569599634,0.0401682246212116,0.0735626967151067,0.0782215955318921,0.0622899379092701,0.083976889601901,0.102680345404989,0.0550365001318663,0.0595713250196444,0.0692965627209239,0.0749897725608224,0.0821951707520063,0.0917427561269637,0.0586874093656115,0.150492696888759,0.0950877020307208,0.128014024808104,0.100895448847111,0.204488181364928,0.137362957045718,0.150874536648102,0.168341347091955,0.175229620824898,0.246817637492253,0.377330233128797,0.312483234953973
"ACE",0.387852863020121,0.184235636507301,0.213955879304259,0.166240786399137,0.145956222670035,0.108559159095694,0.149768977594152,0.0928477699709868,0.106282675471329,0.11185978715119,0.0569011515283863,0.0777277368916785,0.108088686618841,0.074673177548872,0.0798946635575093,0.0698789764091105,0.0673244755373464,0.066534218412376,0.0910503469365412,0.0485090026797646,0.0850564853042165,0.0587861518844432,0.0560186040721215,0.0455999680549087,0.0316897981899624,0.0701112502475129,0.0364424743227626,0.0594757158322706,0.0445238442375039,0.0366336020109534,0.0519714825463137,0.0421422446401153,0.0296630093569839,0.0310390432019916,0.0216214397563431,0.0444506610583957,0.0572320736382246,0.0324379366480749,0.0263331559936663,0.0306177902524092,0.0270779380744074,0.050057052932735,0.0361828807811914,0.0481251829992505,0.0592607635274856,0.0302702545699414,0.0255229351682034,0.0278021312955296,0.0322793957041472,0.0535837810412414,0.0396303745954961,0.0497054748427654,0.0471059553550215,0.0356020559152436,0.0589593633276969,0.0652816887214926,0.0411799742107554,0.0623997018845506,0.0586660415598473,0.0727718021172246,0.0504094042909703,0.0479879887576933,0.0536076491486661,0.0558301584298713,0.0352947405404221,0.0384061563801551,0.0862154649190202,0.0818903723624435,0.0603753437565516,0.069896271662239,0.124460619563999,0.104276671337873,0.0970266911418523,0.0812066394955982,0.137170470414623,0.144159613651992,0.165692507794319,0.205654932718693
"ACGL",0.432963932578317,0.461561080589688,0.133094690503593,0.131946637818017,0.161316234379554,0.147537169238326,0.137203329322986,0.105441664112721,0.114738687432651,0.0788982482735396,0.0654507565405134,0.0421276101470122,0.0823481396234009,0.0672664468486872,0.0518901087180704,0.0550697861508796,0.0744044564547701,0.0387265931697643,0.0504368571994536,0.0524553145855098,0.0375868559429292,0.033824663991872,0.0315793555184055,0.0375614416206898,0.0281849359596384,0.0708988863630185,0.0339340404523677,0.0354086203352526,0.0222709200752223,0.0296540244522125,0.0392191943133546,0.0328367085383128,0.0212800390300507,0.0312549080483834,0.016996074770549,0.0478539154480931,0.0228473563995256,0.0355213044140567,0.0223855919203678,0.0254191696976775,0.0310190855372409,0.0279753868062926,0.0334980947045824,0.0358146270324581,0.0354357777846532,0.0352202295074906,0.0242623150580729,0.0124696540235065,0.0254025035723329,0.0357852484895441,0.0289427626665741,0.0242074503242361,0.0237964424685842,0.0328461734357656,0.0212354057804521,0.041490950144512,0.0256638153093549,0.0371178676815958,0.0394121203510747,0.0358693850967833,0.0340110272485799,0.0268801261705423,0.02821985506187,0.0377703123985642,0.0220082964689659,0.0319562734586954,0.0341545472248554,0.0447221970328095,0.0541402897060893,0.0487400332699988,0.0728249068756461,0.0540412856216357,0.062251779729105,0.0641060486736716,0.118521320050499,0.111762719573336,0.0957784985649587,0.252539279343021
"ACH",0.761141999969975,0.499182697366625,0.355856862832199,0.273942384757331,0.489252759515917,0.24825229181641,0.451525974875141,0.385019321760273,0.252043908501752,0.37689157551828,0.153307657436596,0.181225581110959,0.169930400257324,0.214146129142814,0.125201960079406,0.213217159383166,0.207284505102426,0.184974750428378,0.224843758845387,0.184294124737915,0.200770627516628,0.159436277414967,0.113468409835513,0.161254549179733,0.0975356566069608,0.161447845929489,0.217151313771321,0.185612440931533,0.0998126237748626,0.13294427288416,0.165554047182073,0.0801140289972164,0.0948395079316554,0.105875333614416,0.0824750038381341,0.0885173392151298,0.154400077848829,0.0628211187546106,0.13660659367455,0.102736196972612,0.11190008677026,0.0814287948326855,0.0905978148785424,0.114983213490554,0.126592108669614,0.0885756951499815,0.0979641376948817,0.0736995879770184,0.103114935879754,0.116876264407471,0.152451736230613,0.10080705411567,0.0948622647964747,0.116563807215831,0.127604170019299,0.161309035393763,0.137653204794358,0.125094467335823,0.226026427363258,0.0986693085734935,0.183961739699119,0.151451675584802,0.146728999036621,0.102019278203464,0.0693116845500078,0.0916998105834693,0.105641410346993,0.154857848008382,0.0979594780470905,0.130412718963976,0.233158482311695,0.233587406064676,0.132193030627021,0.166179578252575,0.22620491543334,0.360376890210649,0.304249011338528,0.263807993420771
"ACI",1.85660391774675,1.29331666287526,1.57443480959535,1.00149797878204,0.995524132185567,0.393060067458103,0.870866645123252,0.494142242200224,0.629856744427779,0.644918251922341,0.338956443591755,0.45135857940825,0.507310926460973,0.357739377872884,0.423896791769296,0.402485789394947,0.502049982233849,0.235177681240494,0.353730454368501,0.436290511624581,0.361095451975319,0.259345110253772,0.181000601361387,0.149595473213785,0.339837963272641,0.303264241653469,0.257371859529136,0.233517021039404,0.246064407504683,0.18459037673228,0.317401568758732,0.278319161087194,0.185393459827708,0.194960721628217,0.165380823595382,0.232787215919041,0.188187456894506,0.234196426446104,0.199298447782301,0.227877644751628,0.173829059970585,0.214094136560556,0.220219903357878,0.200824396141475,0.212767259872811,0.116845916900997,0.197810279769133,0.158849453407671,0.152003263165589,0.20501695982931,0.209581053903927,0.309701929528094,0.158647372864134,0.170260764816873,0.159141478630903,0.217660182122439,0.167596950075159,0.182832581898056,0.279279636714883,0.117459921061321,0.264234357177792,0.166242810292553,0.221644519946856,0.235360247989846,0.228045191312398,0.230323851597664,0.287843774866642,0.242995024035158,0.202787588304165,0.279621512938229,0.27904741957355,0.400774170455113,0.370810768872132,0.293301042631687,0.401406737871079,0.452851674831467,0.204588097337483,0.169163396529309
"ACM",0.998223323760494,0.612048153096434,0.531518183648933,0.440984450420128,0.326191013955577,0.267704907594892,0.625860045420958,0.381025423649669,0.24982997213461,0.39409416197134,0.266472682070248,0.320402835434869,0.225345721956338,0.216569835787439,0.212116843582106,0.170534941510013,0.194912871124628,0.148836652795035,0.124676947570412,0.188341264203347,0.169064206611202,0.104335586784685,0.121642066854242,0.161641534207594,0.167931133930426,0.152497685462789,0.183057791457062,0.186202348635762,0.132886370955983,0.120014647926693,0.13176513648741,0.160178062886976,0.197399562779497,0.102872850094095,0.0986931213775756,0.146550648362738,0.131080193974297,0.106991937520816,0.0960957793843183,0.137419122692502,0.109462045539442,0.175230241447278,0.0921794848163911,0.166660026997873,0.193941227498,0.0692883740000638,0.0758677609912418,0.0739408563838149,0.0785118999599044,0.107721242901928,0.100131134788389,0.132386042468153,0.0873744473877749,0.134266573301279,0.0923456398846385,0.179823779547527,0.0961296886665662,0.108696512800147,0.157653000747314,0.0824852213352381,0.143033697139975,0.137162120482728,0.130812577647248,0.149140050564441,0.103064218852162,0.138965305940585,0.19825520029496,0.176019967586954,0.157499327357255,0.175320199188554,0.268405686013513,0.189562704188581,0.14901432475958,0.176533434783049,0.296990297544157,0.344373672059813,0.187879973763675,0.15718342723192
"ACN",0.371443932467745,0.494724731374867,0.169790728767452,0.31241213942973,0.198800092805618,0.157588684712001,0.303539776256423,0.191846300545593,0.146906372487084,0.145761666488891,0.140811662605985,0.0758643123270747,0.119329023557996,0.0940163947730462,0.175869632715834,0.119204588480885,0.117626380594233,0.0916894716928949,0.0893023728013363,0.122823715094165,0.0726300446950124,0.0726527556518211,0.0719682316449071,0.0740779200745239,0.0840513029781057,0.0933958946694624,0.0725581241036564,0.0831658490074353,0.0760912727084118,0.0541116497553088,0.103532542694646,0.0761535153790252,0.0533820465808514,0.0690594982502014,0.0450895767080585,0.0668039804046142,0.0686639309446623,0.0312535345389556,0.0458727323201571,0.0684767910800803,0.0513589499879431,0.0573968885427489,0.0985332101938719,0.0701140953934227,0.057147697582255,0.0434753026155304,0.0435735291184896,0.0500020209334276,0.0585095949241489,0.0430644529069742,0.0459478674108843,0.0649440121383769,0.0645485203152287,0.0541690654592461,0.0583708107294564,0.0470975712479069,0.0857267284572443,0.0648717147931048,0.0768758185813229,0.0656389381915276,0.0753099198326901,0.0526658830116056,0.0587333840769068,0.0822347588454768,0.0436269823921978,0.0641526981889482,0.127039408665312,0.0747533578433627,0.0933803186012109,0.0941370940990597,0.146037150096759,0.105223198120132,0.13068021426289,0.0837221602080636,0.111528382564234,0.105028092843296,0.162829307668876,0.17230349890824
